precinct,county,parish_name,rep_votes,dem_votes,total_votes,votes_needed,OBJECTID
7-21,22071,Orleans,5,245,250,35,2218
26,22101,St. Mary,72,245,317,44,2971
6-1,22007,Assumption,144,246,390,54,150
2-7,22057,Lafourche,31,246,277,38,1659
9-44J,22071,Orleans,19,246,265,37,2004
60,22073,Ouachita,282,246,528,73,2390
13A,22121,West Baton Rouge,27,246,273,38,5281
2-4,22009,Avoyelles,151,247,398,55,15209
114,22017,Caddo,46,247,293,40,9755
1-90,22033,East Baton Rouge,425,247,672,93,902
17-9,22071,Orleans,0,248,248,34,2137
1-7,22001,Acadia,47,249,296,41,6
1-94,22033,East Baton Rouge,0,249,249,34,917
13,22055,Lafayette,273,249,522,72,1621
54,22055,Lafayette,10,249,259,36,1557
8-23,22071,Orleans,35,249,284,39,2024
4-4,22089,St. Charles,73,249,322,44,2723
18,22093,St. James,161,249,410,57,2760
1-1,22007,Assumption,19,250,269,37,9116
17-15,22071,Orleans,2,250,252,35,2035
9-36,22071,Orleans,2,250,252,35,2312
66,22073,Ouachita,23,250,273,38,2366
88,22017,Caddo,314,251,565,78,430
1-52,22033,East Baton Rouge,437,251,688,95,791
1-66,22033,East Baton Rouge,208,251,459,63,801
33-K,22051,Jefferson,15,251,266,37,1440
5-3,22099,St. Martin,458,251,709,98,2924
1-83,22033,East Baton Rouge,140,252,392,54,831
12-19,22071,Orleans,5,252,257,35,2063
55,22087,St. Bernard,221,252,473,65,2697
1-21,22097,St. Landry,44,252,296,41,2824
10-1,22045,Iberia,67,253,320,44,9112
133,22051,Jefferson,22,253,275,38,1412
228,22051,Jefferson,192,253,445,61,1400
7,22067,Morehouse,69,253,322,44,1914
9-43N,22071,Orleans,1,253,254,35,2087
7-4,22099,St. Martin,121,254,375,52,2931
9-37,22071,Orleans,5,255,260,36,2250
9-44G,22071,Orleans,3,255,258,36,2180
9-44O,22071,Orleans,7,255,262,36,2274
1-7,22097,St. Landry,5,255,260,36,2842
226,22051,Jefferson,231,256,487,67,1377
5,22073,Ouachita,331,256,587,81,2358
22,22121,West Baton Rouge,230,256,486,67,4964
3-10,22033,East Baton Rouge,512,257,769,106,779
14-20,22071,Orleans,136,257,393,54,2029
8-28,22071,Orleans,61,257,318,44,2217
321,22019,Calcasieu,53,258,311,43,532
15,22055,Lafayette,15,258,273,38,1576
9-43G,22071,Orleans,1,258,259,36,2107
9,22101,St. Mary,52,258,310,43,2960
67,22109,Terrebonne,50,258,308,43,3320
4-7,22015,Bossier,479,259,738,102,335
64,22017,Caddo,31,259,290,40,432
192,22051,Jefferson,347,259,606,84,1280
2-9,22057,Lafourche,28,259,287,40,1676
16-6,22071,Orleans,27,259,286,39,2221
701,22103,St. Tammany,188,259,447,62,3053
17,22073,Ouachita,19,260,279,39,2417
21,22073,Ouachita,51,260,311,43,2418
1-3,22075,Plaquemines,10,260,270,37,2447
1-4,22095,St. John the Baptist,29,261,290,40,2785
7-19,22071,Orleans,6,262,268,37,2043
9-44B,22071,Orleans,2,262,264,36,2255
2-26,22033,East Baton Rouge,235,263,498,69,792
15-2,22071,Orleans,67,263,330,46,2323
7-40,22071,Orleans,58,263,321,44,2197
C24,22079,Rapides,88,263,351,48,2539
1-5,22095,St. John the Baptist,28,263,291,40,2786
17,22105,Tangipahoa,33,263,296,41,3236
103,22017,Caddo,435,264,699,96,355
5,22037,East Feliciana,161,264,425,59,14572
9-31A,22071,Orleans,3,264,267,37,2228
7-1,22009,Avoyelles,176,265,441,61,188
2,22017,Caddo,288,265,553,76,404
24,22041,Franklin,40,265,305,42,1069
225,22051,Jefferson,30,265,295,41,1360
